image_path,prompt,attractiveness,image_reward,pick_score,hps
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\1_attractive.jpg,a portrait photo of a face,2.0,1.6377826929092407,22.002758026123047,0.31884765625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\1_normal.jpg,a portrait photo of a face,1.0,1.495257019996643,21.589542388916016,0.293701171875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\1_unattractive.jpg,a portrait photo of a face,0.0,1.582336664199829,21.302976608276367,0.294677734375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\20_attractive.jpg,a portrait photo of a face,2.0,0.954300045967102,21.687007904052734,0.297607421875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\20_normal.jpg,a portrait photo of a face,1.0,0.5776374340057373,21.032609939575195,0.25341796875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\20_unattractive.jpg,a portrait photo of a face,0.0,0.9411550164222717,21.402128219604492,0.270751953125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\21_attractive.jpg,a portrait photo of a face,2.0,1.5040189027786255,22.35596466064453,0.3095703125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\21_normal.jpg,a portrait photo of a face,1.0,0.6519981622695923,21.382930755615234,0.27001953125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\21_unattractive.jpg,a portrait photo of a face,0.0,0.5952777862548828,21.26519203186035,0.267822265625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\22_attractive.jpg,a portrait photo of a face,2.0,0.03208368644118309,21.67637062072754,0.2626953125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\22_normal.jpg,a portrait photo of a face,1.0,0.4398409128189087,19.725614547729492,0.2301025390625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\22_unattractive.jpg,a portrait photo of a face,0.0,1.1803691387176514,19.585586547851562,0.247314453125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\23_attractive.jpg,a portrait photo of a face,2.0,0.6319826245307922,21.74909019470215,0.307861328125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\23_normal.jpg,a portrait photo of a face,1.0,0.9036645293235779,21.056358337402344,0.279052734375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\23_unattractive.jpg,a portrait photo of a face,0.0,1.0689888000488281,21.59077262878418,0.286865234375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\24_attractive.jpg,a portrait photo of a face,2.0,0.4698111414909363,20.73837661743164,0.27734375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\24_normal.jpg,a portrait photo of a face,1.0,-0.5350208878517151,18.9716796875,0.1947021484375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\24_unattractive.jpg,a portrait photo of a face,0.0,-0.059199195355176926,20.59554100036621,0.2213134765625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\25_attractive.jpg,a portrait photo of a face,2.0,1.1078795194625854,20.976076126098633,0.2763671875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\25_normal.jpg,a portrait photo of a face,1.0,0.9509466886520386,20.426259994506836,0.249755859375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\25_unattractive.jpg,a portrait photo of a face,0.0,1.1294517517089844,20.148054122924805,0.25244140625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\26_attractive.jpg,a portrait photo of a face,2.0,0.987808108329773,21.35249900817871,0.27734375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\26_normal.jpg,a portrait photo of a face,1.0,0.8804263472557068,21.330293655395508,0.272705078125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\26_unattractive.jpg,a portrait photo of a face,0.0,1.151679515838623,21.416072845458984,0.271728515625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\27_attractive.jpg,a portrait photo of a face,2.0,-1.535570740699768,19.240930557250977,0.218017578125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\27_normal.jpg,a portrait photo of a face,1.0,-1.273399829864502,18.627687454223633,0.162109375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\27_unattractive.jpg,a portrait photo of a face,0.0,-0.7852568030357361,19.107189178466797,0.19873046875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\28_attractive.jpg,a portrait photo of a face,2.0,1.4710136651992798,19.985708236694336,0.277587890625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\28_normal.jpg,a portrait photo of a face,1.0,0.9195001721382141,20.82073211669922,0.271240234375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\28_unattractive.jpg,a portrait photo of a face,0.0,0.8249701261520386,19.5169734954834,0.236083984375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\29_attractive.jpg,a portrait photo of a face,2.0,0.642683744430542,20.781696319580078,0.25634765625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\29_normal.jpg,a portrait photo of a face,1.0,1.0739364624023438,21.671459197998047,0.25390625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\29_unattractive.jpg,a portrait photo of a face,0.0,1.4352418184280396,21.60912322998047,0.264404296875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\2_attractive.jpg,a portrait photo of a face,2.0,0.6101049184799194,21.032821655273438,0.267578125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\2_normal.jpg,a portrait photo of a face,1.0,0.42018672823905945,20.438232421875,0.23974609375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\2_unattractive.jpg,a portrait photo of a face,0.0,0.3945952355861664,20.79975700378418,0.24853515625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\30_attractive.jpg,a portrait photo of a face,2.0,1.0907543897628784,21.630512237548828,0.301513671875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\30_normal.jpg,a portrait photo of a face,1.0,0.9119997620582581,21.480775833129883,0.290283203125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\30_unattractive.jpg,a portrait photo of a face,0.0,1.1182401180267334,21.456830978393555,0.28857421875
