image_path,prompt,attractiveness,clip_score,aesthetic,image_reward,pick_score,hps
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\18_normal.jpg,a portrait photo of a face,1.0,26.959270477294922,5.726187705993652,1.2523096799850464,22.597126007080078,0.320068359375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\18_unattractive.jpg,a portrait photo of a face,0.0,28.964122772216797,5.543978691101074,1.6663775444030762,22.719789505004883,0.32421875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\19_attractive.jpg,a portrait photo of a face,2.0,29.768890380859375,5.873091697692871,1.4093108177185059,22.32147979736328,0.3310546875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\19_normal.jpg,a portrait photo of a face,1.0,29.938146591186523,6.3925299644470215,1.1220442056655884,21.97880744934082,0.321533203125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\19_unattractive.jpg,a portrait photo of a face,0.0,30.090608596801758,6.10189151763916,0.7550694942474365,21.026185989379883,0.299072265625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\1_attractive.jpg,a portrait photo of a face,2.0,30.057048797607422,6.615209102630615,1.2739962339401245,22.262514114379883,0.325439453125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\1_normal.jpg,a portrait photo of a face,1.0,29.01117706298828,6.018218994140625,1.561781406402588,22.582244873046875,0.3369140625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\1_unattractive.jpg,a portrait photo of a face,0.0,31.825607299804688,5.559587478637695,1.3408743143081665,21.474267959594727,0.302978515625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\20_attractive.jpg,a portrait photo of a face,2.0,28.28703498840332,5.997973442077637,0.8279109597206116,22.839494705200195,0.312744140625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\20_normal.jpg,a portrait photo of a face,1.0,30.201274871826172,5.983489990234375,1.4165537357330322,21.801809310913086,0.30615234375
